(40, -40, -40, -40, -40, -40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(50, -50, -50, -50, -50, -50, -50, -50, -50, -50, -50, -50, -50),
(-40, -40, -40, -40, 40, -40, -40, 40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, -50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50),
(-40, -40, -40, -40, -40, 40, -40, -40, -40, 40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, -50, -50, -50, 50, -50, -50, -50, 50, -50, -50, -50),
(-50, -50, -50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50),
(50, -50, -50, -50, -50, -50, -50, 50, -50, -50, -50, -50, -50),
(-40, -40, 40, -40, -40, 40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50, -50, -50),
(40, -40, -40, -40, 40, -40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(50, -50, -50, -50, 50, -50, -50, -50, -50, -50, -50, -50, -50),
(-40, -40, 40, -40, -40, -40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, 50, -50, -50, -50, -50, -50, -50, -50, -50, 50, -50),
(100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, 100),
(-40, -40, -40, -40, 40, -40, -40, 40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, -50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50),
(-40, -40, 40, -40, -40, 40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50, -50, -50),
(-40, -40, -40, -40, 40, -40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, -50, -50, 50, -50, -50, -50, -50, -50, -50, -50, -50),
(-100, -100, 100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100),
(-40, -40, -40, -40, 40, -40, -40, 40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, -50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50),
(-40, -40, 40, -40, -40, 40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50, -50, -50),
(-40, -40, -40, -40, 40, -40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, -50, -50, 50, -50, -50, -50, -50, -50, -50, -50, -50),
(-100, -100, 100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100),
(40, -40, -40, -40, -40, -40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(50, -50, -50, -50, -50, -50, -50, -50, -50, -50, -50, -50, -50),
(-40, -40, -40, -40, 40, -40, -40, 40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, -50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50),
(-40, -40, -40, -40, -40, 40, -40, -40, -40, 40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, -50, -50, -50, 50, -50, -50, -50, 50, -50, -50, -50),
(-50, -50, -50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50),
(50, -50, -50, -50, -50, -50, -50, 50, -50, -50, -50, -50, -50),
(-40, -40, 40, -40, -40, 40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, 50, -50, -50, 50, -50, -50, -50, -50, -50, -50, -50),
(40, -40, -40, -40, 40, -40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(50, -50, -50, -50, 50, -50, -50, -50, -50, -50, -50, -50, -50),
(-40, -40, 40, -40, -40, -40, -40, -40, -40, -40, -40, -40, -40),
(-10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10),
(-50, -50, 50, -50, -50, -50, -50, -50, -50, -50, -50, 50, -50),
(100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, 100),
